writer_id,line_id,Text
644,r02-065-00-00,They
644,r02-065-00-01,closed
644,r02-065-00-02,on
644,r02-065-00-04,single
644,r02-065-00-05,bundle
644,r02-065-00-06,and
644,r02-065-00-09,with
644,r02-065-01-00,nervous
644,r02-065-01-03,he
644,r02-065-01-04,pulled
644,r02-065-01-05,it
644,r02-065-01-06,out
644,r02-065-01-08,His
644,r02-065-01-09,eye
644,r02-065-02-00,rested
644,r02-065-02-01,on
644,r02-065-02-03,wad
644,r02-065-02-04,of
644,r02-065-02-05,stiff
644,r02-065-02-06,white
644,r02-065-02-07,paper
644,r02-065-02-08,printed
644,r02-065-02-09,on
644,r02-065-02-10,one
644,r02-065-03-00,side
644,r02-065-03-03,Old
644,r02-065-03-05,fivers
644,r02-065-03-08,he
644,r02-065-03-10,again
644,r02-065-03-12,and
644,r02-065-04-00,tried
644,r02-065-04-01,to
644,r02-065-04-02,recall
644,r02-065-04-03,if
644,r02-065-04-04,they
644,r02-065-04-05,were
644,r02-065-04-06,still
644,r02-065-04-07,legal
644,r02-065-04-08,tender
644,r02-065-04-10,Surely
644,r02-065-04-11,the
644,r02-065-05-01,and
644,r02-065-05-03,of
644,r02-065-05-04,the
644,r02-065-05-05,Bank
644,r02-065-05-06,of
644,r02-065-05-07,England
644,r02-065-05-08,would
644,r02-065-05-09,never
644,r02-065-06-00,break
644,r02-065-06-01,their
644,r02-065-06-02,promise
644,r02-065-06-03,to
644,r02-065-06-04,pay
644,r02-065-06-05,on
644,r02-065-06-06,rude
644,r02-065-06-07,demand
644,r02-065-06-09,let
644,r02-065-07-00,alone
644,r02-065-07-01,on
644,r02-065-07-02,polite
644,r02-065-07-03,request
60,a04-031-00-00,RELAXED
60,a04-031-00-02,smiling
60,a04-031-00-03,and
60,a04-031-00-04,clearly
60,a04-031-00-05,in
60,a04-031-00-06,the
60,a04-031-00-07,best
60,a04-031-00-08,of
60,a04-031-01-00,spirits
60,a04-031-01-06,to
60,a04-031-02-00,Moscow
60,a04-031-02-01,after
60,a04-031-02-02,his
60,a04-031-02-03,two
60,a04-031-02-04,days
60,a04-031-02-05,of
60,a04-031-02-06,talks
60,a04-031-02-07,with
60,a04-031-03-00,Kennedy
60,a04-031-03-02,writes
60,a04-031-03-03,Dennis
60,a04-031-03-04,Ogden
60,a04-031-03-05,from
60,a04-031-03-06,Moscow
60,a04-031-03-08,The
60,a04-031-04-00,good
60,a04-031-04-02,made
60,a04-031-04-03,at
60,a04-031-04-04,Vienna
60,a04-031-04-05,must
60,a04-031-04-06,be
60,a04-031-05-01,up
60,a04-031-05-02,by
60,a04-031-05-03,new
60,a04-031-05-04,efforts
60,a04-031-05-05,for
60,a04-031-05-06,peace
60,a04-031-05-08,the
60,a04-031-06-00,Soviet
60,a04-031-06-02,Party
60,a04-031-06-04,Pravda
60,a04-031-07-03,Events
60,a04-031-07-04,in
60,a04-031-07-05,Vienna
60,a04-031-07-07,gave
60,a04-031-07-08,hope
60,a04-031-08-00,to
60,a04-031-08-01,people
60,a04-031-08-02,of
60,a04-031-08-04,who
60,a04-031-08-05,hate
60,a04-031-08-06,the
60,a04-031-08-07,cold
60,a04-031-08-08,war
60,a04-031-09-00,and
60,a04-031-09-01,to
60,a04-031-09-02,all
60,a04-031-09-03,who
60,a04-031-09-04,are
60,a04-031-09-06,for
60,a04-031-09-08,stable
60,a04-031-09-09,peace
663,r03-056-00-01,Yes
663,r03-056-00-03,well
663,r03-056-00-07,He
663,r03-056-00-08,judged
663,r03-056-00-09,that
663,r03-056-00-10,she
663,r03-056-00-11,had
663,r03-056-00-12,been
663,r03-056-01-00,dazzled
663,r03-056-01-01,and
663,r03-056-01-02,gave
663,r03-056-01-04,long
663,r03-056-01-05,raucous
663,r03-056-01-06,cough
663,r03-056-01-09,Only
663,r03-056-02-01,worth
663,r03-056-02-02,smoking
663,r03-056-02-04,these
663,r03-056-02-06,Most
663,r03-056-02-09,English
663,r03-056-03-00,ones
663,r03-056-03-02,Well
663,r03-056-03-04,now
663,r03-056-03-06,let
663,r03-056-03-07,me
663,r03-056-03-08,see
663,r03-056-03-11,think
663,r03-056-03-13,can
663,r03-056-03-14,put
663,r03-056-03-15,you
663,r03-056-03-16,onto
663,r03-056-04-00,some
663,r03-056-04-01,people
663,r03-056-04-02,who
663,r03-056-04-03,might
663,r03-056-04-06,say
663,r03-056-04-07,might
663,r03-056-04-09,let
663,r03-056-04-10,you
663,r03-056-04-11,have
663,r03-056-04-14,on
663,r03-056-05-00,this
663,r03-056-05-06,But
663,r03-056-05-08,they
663,r03-056-05-10,safe
663,r03-056-05-12,are
663,r03-056-05-13,they
663,r03-056-05-16,mean
663,r03-056-06-00,they
663,r03-056-06-02,not
663,r03-056-06-10,er
663,r03-056-06-12,Buttery
663,r03-056-07-00,all
663,r03-056-07-03,are
328,g04-092-00-00,It
328,g04-092-00-01,was
328,g04-092-00-02,quite
328,g04-092-00-03,amusing
328,g04-092-00-04,to
328,g04-092-00-05,see
328,g04-092-00-06,how
328,g04-092-00-07,much
328,g04-092-01-00,the
328,g04-092-01-02,enjoyed
328,g04-092-01-03,the
328,g04-092-01-04,service
328,g04-092-01-06,and
328,g04-092-01-08,heard
328,g04-092-02-00,of
328,g04-092-02-01,parents
328,g04-092-02-02,or
328,g04-092-02-04,nurses
328,g04-092-02-06,any
328,g04-092-03-00,naughty
328,g04-092-03-01,child
328,g04-092-03-02,with
328,g04-092-03-03,the
328,g04-092-03-04,penalty
328,g04-092-03-05,of
328,g04-092-03-06,not
328,g04-092-03-07,being
328,g04-092-04-00,allowed
328,g04-092-04-01,to
328,g04-092-04-02,come
328,g04-092-04-03,to
328,g04-092-04-04,the
328,g04-092-04-06,Church
328,g04-092-05-00,on
328,g04-092-05-01,Sunday
328,g04-092-05-05,hope
328,g04-092-05-06,the
328,g04-092-05-07,threat
328,g04-092-06-00,kept
328,g04-092-06-01,them
328,g04-092-06-02,good
328,g04-092-06-03,in
328,g04-092-06-04,the
328,g04-092-06-05,week
328,g04-092-06-07,but
328,g04-092-06-08,anyway
328,g04-092-07-00,they
328,g04-092-07-01,were
328,g04-092-07-03,most
328,g04-092-07-05,lot
328,g04-092-07-07,and
328,g04-092-08-00,it
328,g04-092-08-01,is
328,g04-092-08-03,great
328,g04-092-08-04,joy
328,g04-092-08-05,to
328,g04-092-08-06,meet
328,g04-092-08-07,them
328,g04-092-08-08,now
328,g04-092-09-00,fifty
328,g04-092-09-01,years
328,g04-092-09-03,when
328,g04-092-09-04,so
328,g04-092-09-05,many
328,g04-092-10-00,are
328,g04-092-10-01,parents
328,g04-092-10-02,or
328,g04-092-10-03,even
254,f01-085-00-00,There
254,f01-085-00-01,have
254,f01-085-00-02,been
254,f01-085-00-03,many
254,f01-085-00-06,in
254,f01-085-01-01,in
254,f01-085-01-02,its
254,f01-085-01-03,search
254,f01-085-01-04,for
254,f01-085-01-06,units
254,f01-085-01-07,and
254,f01-085-01-08,here
254,f01-085-02-00,we
254,f01-085-02-01,can
254,f01-085-02-02,only
254,f01-085-02-04,what
254,f01-085-02-05,seems
254,f01-085-02-06,to
254,f01-085-02-07,be
254,f01-085-02-08,the
254,f01-085-02-09,most
254,f01-085-03-00,concept
254,f01-085-03-01,which
254,f01-085-03-02,is
254,f01-085-03-03,current
254,f01-085-03-04,today
254,f01-085-03-06,It
254,f01-085-03-07,is
254,f01-085-03-08,known
254,f01-085-03-09,as
254,f01-085-03-10,the
254,f01-085-03-11,schema
254,f01-085-04-00,It
254,f01-085-04-01,is
254,f01-085-04-02,not
254,f01-085-04-03,an
254,f01-085-04-04,easy
254,f01-085-04-05,concept
254,f01-085-04-06,and
254,f01-085-04-07,if
254,f01-085-04-09,try
254,f01-085-04-10,to
254,f01-085-04-11,make
254,f01-085-04-12,it
254,f01-085-05-01,it
254,f01-085-05-02,will
254,f01-085-05-03,be
254,f01-085-05-04,at
254,f01-085-05-05,the
254,f01-085-05-06,cost
254,f01-085-05-07,of
254,f01-085-06-00,but
254,f01-085-06-01,even
254,f01-085-06-02,so
254,f01-085-06-03,it
254,f01-085-06-04,may
254,f01-085-06-05,be
254,f01-085-06-06,better
254,f01-085-06-07,than
254,f01-081-00-00,We
254,f01-081-00-01,must
254,f01-081-00-02,beware
254,f01-081-00-04,however
254,f01-081-00-06,of
254,f01-081-00-08,that
254,f01-081-00-09,there
254,f01-081-00-10,must
254,f01-081-00-11,be
254,f01-081-00-12,any
254,f01-081-01-00,close
254,f01-081-01-01,analogy
254,f01-081-01-02,between
254,f01-081-01-03,the
254,f01-081-01-04,units
254,f01-081-01-05,of
254,f01-081-01-06,quite
254,f01-081-02-02,For
254,f01-081-02-03,example
254,f01-081-02-04,the
254,f01-081-02-05,success
254,f01-081-02-06,of
254,f01-081-02-07,the
254,f01-081-02-08,atomic
254,f01-081-02-09,theory
254,f01-081-03-00,in
254,f01-081-03-01,physics
254,f01-081-03-02,might
254,f01-081-03-03,lead
254,f01-081-03-04,us
254,f01-081-03-05,to
254,f01-081-03-06,suppose
254,f01-081-03-07,that
254,f01-081-03-08,the
254,f01-081-04-00,units
254,f01-081-04-01,of
254,f01-081-04-03,must
254,f01-081-04-04,be
254,f01-081-04-05,points
254,f01-081-04-07,It
254,f01-081-04-08,would
254,f01-081-04-09,be
254,f01-081-04-10,more
254,f01-081-05-00,correct
254,f01-081-05-01,to
254,f01-081-05-02,regard
254,f01-081-05-04,as
254,f01-081-05-05,the
254,f01-081-05-07,units
254,f01-081-05-08,of
142,c02-030-00-00,When
142,c02-030-00-01,the
142,c02-030-00-02,final
142,c02-030-00-03,miracle
142,c02-030-00-04,does
142,c02-030-00-05,occur
142,c02-030-00-07,it
142,c02-030-00-08,is
142,c02-030-00-10,as
142,c02-030-01-01,joke
142,c02-030-01-03,no
142,c02-030-01-04,one
142,c02-030-01-05,has
142,c02-030-01-06,learned
142,c02-030-01-09,Wicki
142,c02-030-02-01,returns
142,c02-030-02-02,to
142,c02-030-02-03,the
142,c02-030-02-04,city
142,c02-030-02-05,for
