writer_id,line_id,Text
49,a03-034-00-00__0_Members,Members
49,a03-034-00-01__0_of,of
49,a03-034-00-02__0_the,the
49,a03-034-00-03__0_Cabinet,Cabinet
49,a03-034-00-04__0_are,are
49,a03-034-00-05__0_basing,basing
49,a03-034-00-06__0_their,their
49,a03-034-00-08__0_on,on
49,a03-034-01-01__0_new,new
49,a03-034-01-03__0_booklet,booklet
49,a03-034-01-04__0_called,called
49,a03-034-01-05__0_The,The
49,a03-034-01-06__0_Record,Record
49,a03-034-01-07__0_Speaks,Speaks
49,a03-034-02-00__0_which,which
49,a03-034-02-02__0_in,in
49,a03-034-02-03__0_some,some
49,a03-034-02-04__0_detail,detail
49,a03-034-02-05__0_the,the
49,a03-034-03-00__0_of,of
49,a03-034-03-01__0_the,the
49,a03-034-03-02__0_party,party
49,a03-034-03-03__0_since,since
49,a03-034-03-04__0_it,it
49,a03-034-03-05__0_came,came
49,a03-034-03-06__0_to,to
49,a03-034-03-07__0_office,office
49,a03-034-03-08__0_three,three
49,a03-034-03-09__0_and,and
49,a03-034-04-01__0_half,half
49,a03-034-04-02__0_years,years
49,a03-034-04-03__0_ago,ago
49,a03-034-04-06__0_there,there
49,a03-034-04-07__0_is,is
49,a03-034-04-08__0_little,little
49,a03-034-05-01__0_in,in
49,a03-034-05-02__0_the,the
49,a03-034-05-04__0_Party,Party
49,a03-034-05-05__0_that,that
49,a03-034-05-06__0_their,their
49,a03-034-06-00__0_stock,stock
49,a03-034-06-01__0_at,at
49,a03-034-06-02__0_home,home
49,a03-034-06-03__0_has,has
49,a03-034-06-04__0_fallen,fallen
49,a03-034-06-05__0_in,in
49,a03-034-06-06__0_the,the
49,a03-034-06-07__0_face,face
49,a03-034-06-08__0_of,of
49,a03-034-07-00__0_heavy,heavy
49,a03-034-07-02__0_and,and
49,a03-034-07-03__0_an,an
49,a03-034-07-05__0_economy,economy
128,b06-019-00-00__1_The,The
128,b06-019-00-01__1_process,process
128,b06-019-00-02__1_has,has
128,b06-019-00-03__1_been,been
128,b06-019-00-04__1_too,too
128,b06-019-00-05__1_slow,slow
128,b06-019-00-06__1_for,for
128,b06-019-00-07__1_Herr,Herr
128,b06-019-01-00__1_Strauss,Strauss
128,b06-019-01-01__1_and,and
128,b06-019-01-02__1_last,last
128,b06-019-01-03__1_month,month
128,b06-019-01-04__1_he,he
128,b06-019-02-00__1_Britain,Britain
128,b06-019-02-01__1_for,for
128,b06-019-02-02__1_being,being
128,b06-019-02-03__1_an,an
128,b06-019-02-05__1_for,for
128,b06-019-02-06__1_West,West
128,b06-019-03-00__1_plans,plans
128,b06-019-03-01__1_for,for
128,b06-019-03-04__1_unified,unified
128,b06-019-03-05__1_supply,supply
128,b06-019-04-00__1_in,in
128,b06-019-04-01__1_Nato,Nato
128,b06-019-04-05__1_supply,supply
128,b06-019-04-07__1_which,which
128,b06-019-04-08__1_would,would
128,b06-019-05-00__1_link,link
128,b06-019-05-02__1_the,the
128,b06-019-05-03__1_various,various
128,b06-019-05-04__1_West,West
128,b06-019-05-05__1_German,German
128,b06-019-06-05__1_By,By
128,b06-019-06-06__1_the,the
128,b06-019-06-07__1_end,end
128,b06-019-06-08__1_of,of
128,b06-019-06-09__1_the,the
128,b06-019-06-10__1_year,year
128,b06-019-06-11__1_there,there
128,b06-019-07-00__1_will,will
128,b06-019-07-01__1_be,be
128,b06-019-07-03__1_German,German
128,b06-019-07-05__1_in,in
