writer_id,line_id,Text
49,a03-034-00-00_0_Members,Members
49,a03-034-00-01_0_of,of
49,a03-034-00-02_0_the,the
49,a03-034-00-03_0_Cabinet,Cabinet
49,a03-034-00-04_0_are,are
49,a03-034-00-05_0_basing,basing
49,a03-034-00-06_0_their,their
49,a03-034-00-08_0_on,on
49,a03-034-01-03_0_booklet,booklet
49,a03-034-01-04_0_called,called
49,a03-034-01-05_0_The,The
49,a03-034-01-06_0_Record,Record
49,a03-034-01-07_0_Speaks,Speaks
49,a03-034-02-00_0_which,which
49,a03-034-02-02_0_in,in
49,a03-034-02-03_0_some,some
49,a03-034-02-04_0_detail,detail
49,a03-034-02-05_0_the,the
49,a03-034-03-00_0_of,of
49,a03-034-03-01_0_the,the
49,a03-034-03-02_0_party,party
49,a03-034-03-03_0_since,since
49,a03-034-03-04_0_it,it
49,a03-034-03-05_0_came,came
49,a03-034-03-06_0_to,to
49,a03-034-03-07_0_office,office
49,a03-034-03-08_0_three,three
49,a03-034-03-09_0_and,and
49,a03-034-04-01_0_half,half
49,a03-034-04-02_0_years,years
49,a03-034-04-03_0_ago,ago
49,a03-034-04-06_0_there,there
49,a03-034-04-07_0_is,is
49,a03-034-04-08_0_little,little
49,a03-034-05-01_0_in,in
49,a03-034-05-02_0_the,the
49,a03-034-05-04_0_Party,Party
49,a03-034-05-05_0_that,that
49,a03-034-05-06_0_their,their
49,a03-034-06-00_0_stock,stock
49,a03-034-06-02_0_home,home
49,a03-034-06-03_0_has,has
49,a03-034-06-04_0_fallen,fallen
49,a03-034-06-05_0_in,in
49,a03-034-06-06_0_the,the
49,a03-034-06-07_0_face,face
49,a03-034-06-08_0_of,of
49,a03-034-07-02_0_and,and
49,a03-034-07-03_0_an,an
128,b06-019-00-00_1_The,The
128,b06-019-00-01_1_process,process
128,b06-019-00-02_1_has,has
128,b06-019-00-03_1_been,been
128,b06-019-00-04_1_too,too
128,b06-019-00-05_1_slow,slow
128,b06-019-00-06_1_for,for
128,b06-019-00-07_1_Herr,Herr
128,b06-019-01-00_1_Strauss,Strauss
128,b06-019-01-01_1_and,and
128,b06-019-01-03_1_month,month
128,b06-019-01-04_1_he,he
128,b06-019-02-00_1_Britain,Britain
128,b06-019-02-01_1_for,for
128,b06-019-02-02_1_being,being
128,b06-019-02-03_1_an,an
128,b06-019-02-05_1_for,for
128,b06-019-02-06_1_West,West
128,b06-019-03-00_1_plans,plans
128,b06-019-03-01_1_for,for
128,b06-019-03-05_1_supply,supply
128,b06-019-04-00_1_in,in
128,b06-019-04-01_1_Nato,Nato
128,b06-019-04-05_1_supply,supply
128,b06-019-04-07_1_which,which
128,b06-019-04-08_1_would,would
128,b06-019-05-00_1_link,link
128,b06-019-05-02_1_the,the
128,b06-019-05-03_1_various,various
128,b06-019-05-04_1_West,West
128,b06-019-05-05_1_German,German
128,b06-019-06-05_1_By,By
128,b06-019-06-06_1_the,the
128,b06-019-06-07_1_end,end
128,b06-019-06-08_1_of,of
128,b06-019-06-09_1_the,the
128,b06-019-06-10_1_year,year
128,b06-019-06-11_1_there,there
128,b06-019-07-00_1_will,will
128,b06-019-07-01_1_be,be
128,b06-019-07-03_1_German,German
128,b06-019-07-05_1_in,in
128,b06-019-07-06_1_Nato,Nato
128,b06-019-08-01_1_with,with
128,b06-019-08-02_1_four,four
128,b06-019-08-04_1_of,of
128,b06-019-09-00_1_British,British
128,b06-019-09-01_1_troops,troops
